1000	H000	0.66	H	0000	0000	0.0	M	0000	0000	1.0	L	0000	0000	1.0	
1000	M000	0.33	H	0000	0000	0.0	M	0000	0000	0.0	L	0000	0000	1.0	
1000	L000	0.0	H	0000	0000	0.0	M	0000	0000	0.0	L	0000	0000	0.0	
2000	H000	1.3134000000000001	H	1000	H000	0.0	M	1000	H000	1.0	L	1000	H000	1.0	
2000	M000	0.7656000000000001	H	1000	H000	0.0	M	1000	M000	0.0	L	1000	M000	1.0	
2000	L000	0.32670000000000005	H	1000	H000	0.0	M	1000	M000	0.0	L	1000	L000	0.0	
1100	HH00	1.3134000000000001	H	1000	H000	0.0	M	1000	H000	1.0	L	1000	H000	1.0	
1100	HM00	0.7656000000000001	H	1000	M000	0.0	M	1000	H000	0.0	L	1000	M000	1.0	
1100	HL00	0.43560000000000004	H	1000	L000	0.0	M	1000	H000	0.0	L	1000	H000	0.0	
1100	MM00	0.6567000000000001	H	1000	M000	0.0	M	1000	M000	0.0	L	1000	M000	1.0	
1100	ML00	0.10890000000000001	H	1000	L000	0.0	M	1000	L000	0.0	L	1000	M000	0.0	
1100	LL00	0.0	H	1000	L000	0.0	M	1000	L000	0.0	L	1000	L000	0.0	
3000	*000	0.7938810000000002	H	2000	H000	0.0	M	2000	M000	0.0	L	2000	L000	0.0	
2100	HH00	1.960266	H	1100	HH00	0.0	M	1100	HH00	1.0	L	1100	HH00	1.0	
2100	HM00	1.2687180000000002	H	1100	HM00	0.0	M	2000	H000	0.0	L	1100	HM00	1.0	
2100	HL00	1.0105920000000002	H	1100	HL00	0.0	M	2000	H000	0.0	L	2000	H000	0.0	
2100	MH00	1.0879440000000002	H	2000	M000	0.0	M	1100	HM00	0.0	L	1100	HM00	1.0	
2100	MM00	1.01607	H	1100	HM00	0.0	M	1100	MM00	0.0	L	1100	MM00	1.0	
2100	ML00	0.4323330000000001	H	1100	HL00	0.0	M	1100	ML00	0.0	L	2000	M000	0.0	
2100	LH00	0.5042070000000001	H	2000	L000	0.0	M	1100	HM00	0.0	L	1100	HL00	0.0	
2100	LM00	0.25155900000000003	H	2000	L000	0.0	M	2000	L000	0.0	L	1100	ML00	0.0	
2100	LL00	0.14374800000000001	H	2000	L000	0.0	M	1100	ML00	0.0	L	1100	LL00	0.0	
1110	HHH0	1.960266	H	1100	HH00	0.0	M	1100	HH00	1.0	L	1100	HH00	1.0	
1110	HHM0	1.2687180000000002	H	1100	HM00	0.0	M	1100	HH00	0.0	L	1100	HM00	1.0	
1110	HHL0	1.0105920000000002	H	1100	HL00	0.0	M	1100	HH00	0.0	L	1100	HH00	0.0	
1110	HMM0	1.01607	H	1100	MM00	0.0	M	1100	HM00	0.0	L	1100	MM00	1.0	
1110	HML0	0.4323330000000001	H	1100	ML00	0.0	M	1100	HL00	0.0	L	1100	HM00	0.0	
1110	HLL0	0.28749600000000003	H	1100	LL00	0.0	M	1100	HL00	0.0	L	1100	HL00	0.0	
1110	MMM0	0.9801330000000001	H	1100	MM00	0.0	M	1100	MM00	0.0	L	1100	MM00	1.0	
1110	MML0	0.28858500000000004	H	1100	ML00	0.0	M	1100	ML00	0.0	L	1100	MM00	0.0	
1110	MLL0	0.035937000000000004	H	1100	LL00	0.0	M	1100	LL00	0.0	L	1100	ML00	0.0	
1110	LLL0	0.0	H	1100	LL00	0.0	M	1100	LL00	0.0	L	1100	LL00	0.0	
3100	*H00	0.7873905600000002	H	3000	*000	0.0	M	2100	MH00	0.0	L	2100	LH00	0.0	
3100	*M00	0.6069759300000002	H	3000	*000	0.0	M	3000	*000	0.0	L	2100	LM00	0.0	
3100	*L00	0.4520874600000001	H	3000	*000	0.0	M	2100	ML00	0.0	L	2100	LL00	0.0	
2200	HH00	2.6006633399999997	H	2100	HH00	0.0	M	2100	HH00	1.0	L	2100	HH00	1.0	
2200	HM00	1.4667199800000004	H	2100	MH00	0.0	M	2100	HM00	0.0	L	2100	MH00	1.0	
2200	HL00	0.9185606100000003	H	2100	LH00	0.0	M	2100	HM00	0.0	L	2100	HL00	0.0	
2200	MM00	1.3596277200000002	H	2100	MH00	0.0	M	2100	MM00	0.0	L	2100	MM00	1.0	
2200	ML00	0.39207267000000007	H	2100	LH00	0.0	M	2100	LM00	0.0	L	2100	ML00	0.0	
2200	LL00	0.2968396200000001	H	2100	LH00	0.0	M	2100	LM00	0.0	L	2100	LL00	0.0	
2110	HHH0	2.6006633399999997	H	1110	HHH0	0.0	M	1110	HHH0	1.0	L	1110	HHH0	1.0	
2110	HHM0	1.8142416600000004	H	1110	HHM0	0.0	M	2100	HH00	0.0	L	1110	HHM0	1.0	
2110	HHL0	1.62727092	H	1110	HHL0	0.0	M	2100	HH00	0.0	L	2100	HH00	0.0	
2110	HMM0	1.41928314	H	1110	HMM0	0.0	M	2100	HM00	0.0	L	1110	HMM0	1.0	
2110	HML0	0.8948421900000002	H	1110	HML0	0.0	M	2100	HL00	0.0	L	2100	HM00	0.0	
2110	HLL0	0.7618644000000001	H	1110	HLL0	0.0	M	2100	HL00	0.0	L	2100	HL00	0.0	
2110	MHH0	1.4667199800000004	H	2100	MH00	0.0	M	1110	HHM0	0.0	L	2100	MH00	1.0	
2110	MHM0	1.3359093	H	2100	MM00	0.0	M	1110	HMM0	0.0	L	1110	HMM0	1.0	
2110	MHL0	0.6443613000000001	H	2100	ML00	0.0	M	1110	HML0	0.0	L	2100	MH00	0.0	
2110	MMM0	1.3121908800000002	H	1110	HMM0	0.0	M	1110	MMM0	0.0	L	1110	MMM0	1.0	
