310	LH0	0.7873905600000002	H	300	L00	0.0	1	1	H	M	210	MH0	0.0	3	3	L	L	210	LH0	0.0	3	3	L	
310	LM0	0.6069759300000002	H	300	L00	0.0	1	1	M	M	300	L00	0.0	1	1	M	L	210	LM0	0.0	3	3	L	
310	LL0	0.4520874600000001	H	300	L00	0.0	1	1	L	M	210	ML0	0.0	3	3	L	L	210	LL0	0.0	3	3	L	
220	HH0	2.6006633399999997	H	210	HH0	0.0	2	2	H	M	210	HH0	1.0	2	2	H	L	210	HH0	1.0	2	2	H	
220	HM0	1.4667199800000004	H	210	MH0	0.0	2	2	H	M	210	HM0	0.0	2	2	M	L	210	MH0	1.0	2	2	H	
220	HL0	0.9185606100000003	H	210	LH0	0.0	2	2	H	M	210	HM0	0.0	2	2	L	L	210	HL0	0.0	2	2	L	
220	MM0	1.3596277200000002	H	210	MH0	0.0	2	2	M	M	210	MM0	0.0	2	2	M	L	210	MM0	1.0	2	2	M	
220	ML0	0.39207267000000007	H	210	LH0	0.0	2	2	M	M	210	LM0	0.0	2	2	M	L	210	ML0	0.0	2	2	L	
220	LL0	0.2968396200000001	H	210	LH0	0.0	2	2	L	M	210	LM0	0.0	2	2	L	L	210	LL0	0.0	2	2	L	
211	HHH	2.6006633399999997	H	111	HHH	0.0	2	2	H	M	111	HHH	1.0	2	2	H	L	111	HHH	1.0	2	2	H	
211	HHM	1.8142416600000004	H	111	HHM	0.0	2	2	H	M	210	HH0	0.0	1	1	M	L	111	HHM	1.0	2	2	H	
211	HHL	1.62727092	H	111	HHL	0.0	2	2	H	M	210	HH0	0.0	1	1	L	L	210	HH0	0.0	1	1	L	
211	HMM	1.41928314	H	111	HMM	0.0	2	2	H	M	210	HM0	0.0	1	1	M	L	111	HMM	1.0	2	2	H	
211	HML	0.8948421900000002	H	111	HML	0.0	2	2	H	M	210	HL0	0.0	1	1	M	L	210	HM0	0.0	1	1	L	
211	HLL	0.7618644000000001	H	111	HLL	0.0	2	2	H	M	210	HL0	0.0	1	1	L	L	210	HL0	0.0	1	1	L	
211	MHH	1.4667199800000004	H	210	MH0	0.0	1	1	H	M	111	HHM	0.0	2	2	M	L	210	MH0	1.0	1	1	H	
211	MHM	1.3359093	H	210	MM0	0.0	1	1	H	M	111	HMM	0.0	2	2	M	L	111	HMM	1.0	2	2	M	
211	MHL	0.6443613000000001	H	210	ML0	0.0	1	1	H	M	111	HML	0.0	2	2	M	L	210	MH0	0.0	1	1	L	
211	MMM	1.3121908800000002	H	111	HMM	0.0	2	2	M	M	111	MMM	0.0	2	2	M	L	111	MMM	1.0	2	2	M	
211	MML	0.5732060400000001	H	111	HML	0.0	2	2	M	M	111	MML	0.0	2	2	M	L	210	MM0	0.0	1	1	L	
211	MLL	0.24940278000000005	H	111	HLL	0.0	2	2	M	M	111	MLL	0.0	2	2	M	L	210	ML0	0.0	1	1	L	
211	LHH	0.9185606100000003	H	210	LH0	0.0	1	1	H	M	111	HHM	0.0	2	2	L	L	111	HHL	0.0	2	2	L	
211	LHM	0.39207267000000007	H	210	LM0	0.0	1	1	H	M	210	LH0	0.0	1	1	M	L	111	HML	0.0	2	2	L	
211	LHL	0.2849804100000001	H	210	LL0	0.0	1	1	H	M	111	HML	0.0	2	2	L	L	111	HLL	0.0	2	2	L	
211	LMM	0.26126199000000006	H	210	LM0	0.0	1	1	M	M	210	LM0	0.0	1	1	M	L	111	MML	0.0	2	2	L	
211	LML	0.10673289000000002	H	210	LL0	0.0	1	1	M	M	210	LL0	0.0	1	1	M	L	111	MLL	0.0	2	2	L	
211	LLL	0.05929605000000001	H	210	LL0	0.0	1	1	L	M	111	MLL	0.0	2	2	L	L	111	LLL	0.0	2	2	L	
410	*H0	1.1819464767000003	H	400	*00	0.0	1	1	H	M	310	MH0	0.0	4	4	*	L	310	LH0	0.0	4	4	*	
410	*M0	1.0764820539000004	H	400	*00	0.0	1	1	M	M	400	*00	0.0	1	1	M	L	310	LM0	0.0	4	4	*	
410	*L0	0.8825767830000003	H	400	*00	0.0	1	1	L	M	310	ML0	0.0	4	4	*	L	310	LL0	0.0	4	4	*	
320	HH0	3.2346567066	H	220	HH0	0.0	3	3	H	M	220	HH0	1.0	3	3	H	L	220	HH0	1.0	3	3	H	
320	HM0	1.8967349346000006	H	220	HM0	0.0	3	3	H	M	310	HM0	0.0	2	2	M	L	220	HM0	1.0	3	3	H	
320	HL0	1.4388241527	H	220	HL0	0.0	3	3	H	M	310	HM0	0.0	2	2	L	L	310	HL0	0.0	2	2	L	
320	MH0	1.7820527802000006	H	310	MH0	0.0	2	2	H	M	220	HM0	0.0	3	3	M	L	220	HM0	1.0	3	3	M	
320	MM0	1.7113718886000004	H	220	HM0	0.0	3	3	M	M	220	MM0	0.0	3	3	M	L	220	MM0	1.0	3	3	M	
320	ML0	0.7278069051000002	H	220	HL0	0.0	3	3	M	M	220	ML0	0.0	3	3	M	L	310	ML0	0.0	2	2	L	
320	LH0	1.0469814795000003	H	310	LH0	0.0	2	2	H	M	220	HM0	0.0	3	3	L	L	220	HL0	0.0	3	3	L	
320	LM0	0.5895249228000001	H	310	LH0	0.0	2	2	M	M	310	LM0	0.0	2	2	M	L	220	ML0	0.0	3	3	L	
320	LL0	0.48717994050000013	H	310	LH0	0.0	2	2	L	M	220	ML0	0.0	3	3	L	L	220	LL0	0.0	3	3	L	
311	HHH	3.2346567066	H	211	HHH	0.0	3	3	H	M	211	HHH	1.0	3	3	H	L	211	HHH	1.0	3	3	H	
311	HHM	2.3856183978	H	211	HHM	0.0	3	3	H	M	310	HH0	0.0	1	1	M	L	211	HHM	1.0	3	3	H	
311	HHL	2.253437208	H	211	HHL	0.0	3	3	H	M	310	HH0	0.0	1	1	L	L	310	HH0	0.0	1	1	L	
311	HMM	1.8654266202000003	H	211	HMM	0.0	3	3	H	M	310	HM0	0.0	1	1	M	L	211	HMM	1.0	3	3	H	
311	HML	1.4309970741000002	H	211	HML	0.0	3	3	H	M	310	HL0	0.0	1	1	M	L	310	HM0	0.0	1	1	L	
311	HLL	1.3254140591999999	H	211	HLL	0.0	3	3	H	M	310	HL0	0.0	1	1	L	L	310	HL0	0.0	1	1	L	
311	MHH	1.7820527802000006	H	310	MH0	0.0	1	1	H	M	211	MHH	0.0	3	3	M	L	211	MHH	1.0	3	3	M	
311	MHM	1.6800635742	H	310	MM0	0.0	1	1	H	M	211	MHM	0.0	3	3	M	L	211	MHM	1.0	3	3	M	
311	MHL	0.9919547451000004	H	310	ML0	0.0	1	1	H	M	211	MHL	0.0	3	3	M	L	310	MH0	0.0	1	1	L	
311	MMM	1.6644094170000003	H	211	HMM	0.0	3	3	M	M	211	MMM	0.0	3	3	M	L	211	MMM	1.0	3	3	M	
311	MML	0.9528193521000001	H	211	HML	0.0	3	3	M	M	211	MML	0.0	3	3	M	L	310	MM0	0.0	1	1	L	
311	MLL	0.6290160921000001	H	211	HLL	0.0	3	3	M	M	211	MLL	0.0	3	3	M	L	310	ML0	0.0	1	1	L	
311	LHH	1.0469814795000003	H	310	LH0	0.0	1	1	H	M	211	MHH	0.0	3	3	L	L	211	LHH	0.0	3	3	L	
311	LHM	0.5895249228000001	H	310	LM0	0.0	1	1	H	M	310	LH0	0.0	1	1	M	L	211	LHM	0.0	3	3	L	
311	LHL	0.45587162610000015	H	310	LL0	0.0	1	1	H	M	211	MHL	0.0	3	3	L	L	211	LHL	0.0	3	3	L	
311	LMM	0.48682057050000016	H	310	LM0	0.0	1	1	M	M	310	LM0	0.0	1	1	M	L	211	LMM	0.0	3	3	L	
311	LML	0.3335995773000001	H	310	LL0	0.0	1	1	M	M	310	LL0	0.0	1	1	M	L	211	LML	0.0	3	3	L	
311	LLL	0.2510594757000001	H	310	LL0	0.0	1	1	L	M	211	MLL	0.0	3	3	L	L	211	LLL	0.0	3	3	L	
221	HHH	3.2346567066	H	211	HHH	0.0	2	2	H	M	211	HHH	1.0	2	2	H	L	211	HHH	1.0	2	2	H	
221	HHM	2.3856183978	H	211	HHM	0.0	2	2	H	M	220	HH0	0.0	1	1	M	L	211	HHM	1.0	2	2	H	
221	HHL	2.253437208	H	211	HHL	0.0	2	2	H	M	220	HH0	0.0	1	1	L	L	220	HH0	0.0	1	1	L	
221	HMH	1.8967349346000006	H	211	MHH	0.0	2	2	H	M	211	HHM	0.0	2	2	M	L	211	MHH	1.0	2	2	H	
221	HMM	1.6800635742	H	211	MHM	0.0	2	2	H	M	211	HMM	0.0	2	2	M	L	211	MHM	1.0	2	2	H	
221	HML	0.9919547451000004	H	211	MHL	0.0	2	2	H	M	211	HML	0.0	2	2	M	L	220	HM0	0.0	1	1	L	
221	HLH	1.4388241527	H	211	LHH	0.0	2	2	H	M	211	HHM	0.0	2	2	L	L	211	HHL	0.0	2	2	L	
221	HLM	0.7278069051000002	H	211	LHM	0.0	2	2	H	M	220	HL0	0.0	1	1	M	L	211	HML	0.0	2	2	L	
221	HLL	0.6407567100000002	H	211	LHL	0.0	2	2	H	M	211	HML	0.0	2	2	L	L	211	HLL	0.0	2	2	L	
221	MMH	1.6603772856	H	220	MM0	0.0	1	1	H	M	211	MHM	0.0	2	2	M	L	211	MHM	1.0	2	2	M	
221	MMM	1.6368960498000003	H	211	MHM	0.0	2	2	M	M	211	MMM	0.0	2	2	M	L	211	MMM	1.0	2	2	M	
221	MML	0.8504743698000002	H	211	MHL	0.0	2	2	M	M	211	MML	0.0	2	2	M	L	220	MM0	0.0	1	1	L	
221	MLH	0.4714071912000001	H	220	ML0	0.0	1	1	H	M	211	LHM	0.0	2	2	M	L	211	MHL	0.0	2	2	L	
221	MLM	0.4047584310000001	H	211	LHM	0.0	2	2	M	M	211	LMM	0.0	2	2	M	L	211	MML	0.0	2	2	L	
221	MLL	0.21156830640000007	H	211	LHL	0.0	2	2	M	M	211	LML	0.0	2	2	M	L	211	MLL	0.0	2	2	L	
221	LLH	0.32138459100000005	H	220	LL0	0.0	1	1	H	M	211	LHM	0.0	2	2	L	L	211	LHL	0.0	2	2	L	
221	LLM	0.21939538500000005	H	220	LL0	0.0	1	1	M	M	211	LMM	0.0	2	2	L	L	211	LML	0.0	2	2	L	
221	LLL	0.14883308550000005	H	211	LHL	0.0	2	2	L	M	211	LML	0.0	2	2	L	L	211	LLL	0.0	2	2	L	
420	*H0	1.3236236430120005	H	410	*H0	0.0	2	2	H	M	320	MH0	0.0	4	4	*	L	320	LH0	0.0	4	4	*	
420	*M0	0.9398246396220004	H	410	*H0	0.0	2	2	M	M	410	*M0	0.0	2	2	M	L	320	LM0	0.0	4	4	*	
420	*L0	0.7909879963590003	H	410	*H0	0.0	2	2	L	M	320	ML0	0.0	4	4	*	L	320	LL0	0.0	4	4	*	
411	*HH	1.3236236430120005	H	410	*H0	0.0	1	1	H	M	311	MHH	0.0	4	4	*	L	311	LHH	0.0	4	4	*	
