2100	3	13	5	5	0.25	10	2000	3	5	5	5	0.0	1	1	13	1	1100	13	4	5	5	0.0	2	2	3	
2100	3	4	5	5	0.125	10	1100	13	4	5	5	0.0	2	2	3	1	1100	4	4	5	5	0.0	2	2	3	
1110	40	40	40	5	6.0	10	1100	40	40	5	5	0.0	1	1	40	1	1100	40	40	5	5	4.0	1	1	40	
1110	40	40	31	5	5.125	10	1100	40	31	5	5	0.0	1	1	40	1	1100	40	40	5	5	3.0	1	1	31	
1110	40	40	22	5	4.25	10	1100	40	22	5	5	0.0	1	1	40	1	1100	40	40	5	5	2.0	1	1	22	
1110	40	40	13	5	3.375	10	1100	40	13	5	5	0.0	1	1	40	1	1100	40	40	5	5	1.0	1	1	13	
1110	40	40	4	5	2.5	10	1100	40	4	5	5	0.0	1	1	40	1	1100	40	40	5	5	0.0	1	1	4	
1110	40	31	31	5	4.625	10	1100	31	31	5	5	0.0	1	1	40	1	1100	40	31	5	5	3.0	1	1	31	
1110	40	31	22	5	3.75	10	1100	31	22	5	5	0.0	1	1	40	1	1100	40	31	5	5	2.0	1	1	22	
1110	40	31	13	5	2.875	10	1100	31	13	5	5	0.0	1	1	40	1	1100	40	31	5	5	1.0	1	1	13	
1110	40	31	4	5	2.0	10	1100	31	4	5	5	0.0	1	1	40	1	1100	40	31	5	5	0.0	1	1	4	
1110	40	22	22	5	3.25	10	1100	22	22	5	5	0.0	1	1	40	1	1100	40	22	5	5	2.0	1	1	22	
1110	40	22	13	5	2.375	10	1100	22	13	5	5	0.0	1	1	40	1	1100	40	22	5	5	1.0	1	1	13	
1110	40	22	4	5	1.5	10	1100	22	4	5	5	0.0	1	1	40	1	1100	40	22	5	5	0.0	1	1	4	
1110	40	13	13	5	1.875	10	1100	13	13	5	5	0.0	1	1	40	1	1100	40	13	5	5	1.0	1	1	13	
1110	40	13	4	5	1.0	10	1100	13	4	5	5	0.0	1	1	40	1	1100	40	13	5	5	0.0	1	1	4	
1110	40	4	4	5	0.5	10	1100	4	4	5	5	0.0	1	1	40	1	1100	40	4	5	5	0.0	1	1	4	
1110	31	31	31	5	4.5	10	1100	31	31	5	5	0.0	1	1	31	1	1100	31	31	5	5	3.0	1	1	31	
1110	31	31	22	5	3.625	10	1100	31	22	5	5	0.0	1	1	31	1	1100	31	31	5	5	2.0	1	1	22	
1110	31	31	13	5	2.75	10	1100	31	13	5	5	0.0	1	1	31	1	1100	31	31	5	5	1.0	1	1	13	
1110	31	31	4	5	1.875	10	1100	31	4	5	5	0.0	1	1	31	1	1100	31	31	5	5	0.0	1	1	4	
1110	31	22	22	5	3.125	10	1100	22	22	5	5	0.0	1	1	31	1	1100	31	22	5	5	2.0	1	1	22	
