1000	20	3	3	3	1.0	10	0000	3	3	3	3	0.0	1	0000	3	3	3	3	2.0	
1000	11	3	3	3	0.5	10	0000	3	3	3	3	0.0	1	0000	3	3	3	3	1.0	
1000	2	3	3	3	0.0	10	0000	3	3	3	3	0.0	1	0000	3	3	3	3	0.0	
2000	10	3	3	3	1.25	10	1000	20	3	3	3	0.0	1	1000	11	3	3	3	1.0	
2000	1	3	3	3	0.25	10	1000	11	3	3	3	0.0	1	1000	2	3	3	3	0.0	
1100	20	20	3	3	2.0	10	1000	20	3	3	3	0.0	1	1000	20	3	3	3	2.0	
1100	20	11	3	3	1.25	10	1000	11	3	3	3	0.0	1	1000	20	3	3	3	1.0	
1100	20	2	3	3	0.5	10	1000	2	3	3	3	0.0	1	1000	20	3	3	3	0.0	
1100	11	11	3	3	1.0	10	1000	11	3	3	3	0.0	1	1000	11	3	3	3	1.0	
1100	11	2	3	3	0.25	10	1000	2	3	3	3	0.0	1	1000	11	3	3	3	0.0	
1100	2	2	3	3	0.0	10	1000	2	3	3	3	0.0	1	1000	2	3	3	3	0.0	
3000	0	3	3	3	0.75	10	2000	10	3	3	3	0.0	1	2000	1	3	3	3	0.0	
2100	10	20	3	3	1.75	10	2000	10	3	3	3	0.0	1	1100	20	11	3	3	1.0	
2100	10	11	3	3	1.625	10	1100	20	11	3	3	0.0	1	1100	11	11	3	3	1.0	
2100	10	2	3	3	0.875	10	1100	20	2	3	3	0.0	1	1100	11	2	3	3	1.0	
2100	1	20	3	3	0.375	10	2000	1	3	3	3	0.0	1	1100	20	2	3	3	0.0	
2100	1	11	3	3	0.25	10	2000	1	3	3	3	0.0	1	1100	11	2	3	3	0.0	
2100	1	2	3	3	0.125	10	1100	11	2	3	3	0.0	1	1100	2	2	3	3	0.0	
1110	20	20	20	3	3.0	10	1100	20	20	3	3	0.0	1	1100	20	20	3	3	2.0	
1110	20	20	11	3	2.125	10	1100	20	11	3	3	0.0	1	1100	20	20	3	3	1.0	
1110	20	20	2	3	1.25	10	1100	20	2	3	3	0.0	1	1100	20	20	3	3	0.0	
1110	20	11	11	3	1.625	10	1100	11	11	3	3	0.0	1	1100	20	11	3	3	1.0	
1110	20	11	2	3	0.75	10	1100	11	2	3	3	0.0	1	1100	20	11	3	3	0.0	
1110	20	2	2	3	0.25	10	1100	2	2	3	3	0.0	1	1100	20	2	3	3	0.0	
