1000000200333333	00000003333333	1	200	00000003333333	1	200	00000003333333	1	200	
1000000110333333	00000003333333	1	110	00000003333333	1	110	00000003333333	1	110	
1000000101333333	00000003333333	1	101	00000003333333	1	101	00000003333333	1	101	
100000020333333	00000003333333	1	20	00000003333333	1	20	00000003333333	1	20	
100000011333333	00000003333333	1	11	00000003333333	1	11	00000003333333	1	11	
10000002333333	00000003333333	1	2	00000003333333	1	2	00000003333333	1	2	
2000000100333333	1000000200333333	2	100	1000000110333333	2	100	1000000101333333	2	100	
200000010333333	1000000110333333	2	10	100000020333333	2	10	100000011333333	2	10	
20000001333333	1000000101333333	2	1	100000011333333	2	1	10000002333333	2	1	
110000020020033333	1000000200333333	1	200	1000000200333333	1	200	1000000200333333	1	200	
110000020011033333	1000000110333333	1	200	1000000200333333	1	110	1000000110333333	1	200	
110000020010133333	1000000101333333	1	200	1000000200333333	1	101	1000000200333333	1	101	
11000002002033333	100000020333333	1	200	1000000200333333	1	20	100000020333333	1	200	
11000002001133333	100000011333333	1	200	1000000200333333	1	11	1000000200333333	1	11	
1100000200233333	10000002333333	1	200	1000000200333333	1	2	1000000200333333	1	2	
110000011011033333	1000000110333333	1	110	1000000110333333	1	110	1000000110333333	1	110	
110000011010133333	1000000101333333	1	110	1000000101333333	1	110	1000000110333333	1	101	
11000001102033333	100000020333333	1	110	1000000110333333	1	20	100000020333333	1	110	
11000001101133333	100000011333333	1	110	1000000110333333	1	11	1000000110333333	1	11	
1100000110233333	10000002333333	1	110	1000000110333333	1	2	1000000110333333	1	2	
110000010110133333	1000000101333333	1	101	1000000101333333	1	101	1000000101333333	1	101	
11000001012033333	100000020333333	1	101	1000000101333333	1	20	100000020333333	1	101	
11000001011133333	100000011333333	1	101	1000000101333333	1	11	100000011333333	1	101	
1100000101233333	10000002333333	1	101	1000000101333333	1	2	1000000101333333	1	2	
1100000202033333	100000020333333	1	20	100000020333333	1	20	100000020333333	1	20	
1100000201133333	100000011333333	1	20	100000011333333	1	20	100000020333333	1	11	
110000020233333	10000002333333	1	20	10000002333333	1	20	100000020333333	1	2	
1100000111133333	100000011333333	1	11	100000011333333	1	11	100000011333333	1	11	
110000011233333	10000002333333	1	11	10000002333333	1	11	100000011333333	1	2	
11000002233333	10000002333333	1	2	10000002333333	1	2	10000002333333	1	2	
30000000333333	2000000100333333	3	0	200000010333333	3	0	20000001333333	3	0	
